price,rrp_price,discount,store_region,store_open,store_visitors,customer_age,customer_gender,staff_sales,staff_experience,staff_age,in_store_promotions,sales
498.64,49864.0,0.0,south,1,957.2196404097997,30.0,male,0,9,37.0,,0
480.12,48012.0,0.14671092172731742,south,1,963.6406591568668,49.0,female,1,25,46.0,,1
503.62,50362.0,0.18703926308588587,west,1,937.7067161161142,18.0,female,0,7,32.0,1.0,0
424.78,42478.0,0.10256072013036405,west,1,955.3716452234312,36.0,male,0,19,43.0,,0
522.56,52255.99999999999,,north,1,910.3273096576035,48.0,female,1,11,35.0,1.0,1
497.06,49706.0,0.1790830569390416,south,1,,25.0,male,0,1,36.0,,0
479.77,47977.0,0.39388650358844807,south,1,975.9560982530425,32.0,female,1,23,45.0,,1
529.4,52940.0,0.409842177820053,east,1,965.9035044658874,45.0,female,1,6,36.0,,1
640.43,64042.99999999999,0.237823627927305,south,1,932.5194921866589,48.0,female,1,5,29.0,,1
442.03,44203.0,0.23302309326830556,north,1,998.3774005213985,20.0,male,0,14,49.0,,0
533.55,53354.99999999999,0.5149197885204396,east,1,972.652852400889,44.0,male,1,1,40.0,,1
491.73,49173.0,0.0,south,1,965.8774717132526,26.0,male,0,5,55.0,,0
543.07,54307.00000000001,0.353347339835748,south,1,949.7103635862888,31.0,male,1,8,54.0,,1
498.35,49835.0,0.0,east,1,922.3860865253278,34.0,male,0,4,33.0,,0
462.13,46213.0,0.45600724623257566,north,1,932.0314942793001,24.0,female,1,2,43.0,,1
530.53,53053.0,0.4786436108596809,west,1,992.2138603754759,40.0,female,1,8,44.0,,1
491.08,49108.0,0.19417265537980175,east,1,918.3567877515997,48.0,female,0,5,43.0,1.0,0
423.73,42373.0,0.401619407054138,west,1,997.3406711637944,27.0,female,0,2,40.0,1.0,0
600.17,60016.99999999999,0.3476359530057341,north,1,935.8075352497893,21.0,female,1,3,34.0,1.0,1
521.5,52150.0,0.14063809238519867,south,1,914.5536400822905,53.0,male,0,8,35.0,,0
452.98,45298.0,0.0,west,1,978.7905388028773,53.0,male,0,3,45.0,,0
484.63,48463.0,0.0,west,1,913.64790680593,31.0,male,0,1,36.0,,0
444.21,44421.0,0.12437793253087469,south,1,972.2645797626724,20.0,female,0,27,48.0,,0
437.61,43761.0,0.581442584511056,east,1,920.2160100585288,34.0,male,1,11,44.0,,1
417.4,41740.0,0.0,east,1,981.0224521282144,26.0,male,0,15,44.0,,0
501.32,50132.0,0.18504874886536443,west,1,953.8154427901782,33.0,female,1,25,50.0,,1
489.58,48958.0,0.0,south,1,916.5990898616102,22.0,male,0,2,32.0,,0
516.12,51612.0,0.18707222388300104,south,1,999.6524238734298,29.0,male,0,8,43.0,1.0,0
572.7,57270.00000000001,0.24489873481970054,north,1,982.1081862800916,36.0,female,1,25,46.0,,1
589.41,58941.0,0.1537940871082886,west,1,969.1248717700298,43.0,male,1,18,39.0,,1
509.98,50998.0,0.15506543217264107,west,1,973.7240597268067,51.0,female,1,24,45.0,1.0,1
508.62,50862.0,0.2718602888961213,east,1,936.3673466886183,24.0,female,1,23,44.0,,1
485.95,48595.0,0.0,south,1,948.0056915071385,22.0,female,0,29,50.0,1.0,0
